Index,AlbumName,Artist,Explicit,Genre,TrackCount
1,Fear Inoculum,TOOL,explicit,Metal,10
2,Ænima,TOOL,explicit,Metal,15
3,Undertow,TOOL,explicit,Metal,10
4,Lateralus,TOOL,notExplicit,Metal,13
5,"10,000 Days",TOOL,explicit,Metal,11
6,Opiate - EP,TOOL,explicit,Metal,6
7,IllutionWorld - EP,TOOL$,notExplicit,Hip-Hop/Rap,4
8,Every Breath You Take (Club Mix) - Single,"Shannon, Tool & Vektor",notExplicit,House,1
9,The String Quartet Tribute to Tool's Aenima,Vitamin String Quartet,notExplicit,Rock,15
10,The Ultimate Tool,8-Bit Arcade,notExplicit,Electronica,34
11,Lullaby Renditions of Tool,Rockabye Baby!,notExplicit,Lullabies,12
12,Oerwoud - Single,JuanV & Tool,notExplicit,House,2
13,Lullaby Versions of Tool,Twinkle Twinkle Little Rock Star,notExplicit,Children's Music,12
14,Tool Muziq,Pastor Troy,explicit,Hip-Hop,14
15,Fight With Tools,Flobots,explicit,Hip-Hop/Rap,12
16,Third Eye Open: VSQ Performs Tool,Vitamin String Quartet,notExplicit,Alternative,10
17,VSQ Performs Tool's Lateralus,Vitamin String Quartet,notExplicit,Alternative,13
18,Tool Sound Effects(255 Tracks),Sound Effect Kings,notExplicit,Country,255
19,Power Tool Stigmata,Godhead,notExplicit,Rock,14
20,Tool for Evening,The Big Wu,notExplicit,Rock,10
21,"Metamorphic: VSQ Performs Tool, Vol. 2",Vitamin String Quartet,notExplicit,Hard Rock,11
22,Tool,Crushead,notExplicit,Indie Rock,7
23,The Baroque Tribute To Tool: Chamber Made,Vitamin Baroque,notExplicit,Hard Rock,10
24,Anotomica - The String Quartet Tribute to Tool,Vitamin String Quartet,notExplicit,Rock,21
25,Power Tools (Test Tones),Bass Mekanik,notExplicit,Electronic,197
26,Tool - EP,Mg & The Juggernaut,notExplicit,Rock,5
27,Tool - EP,Coeter One,notExplicit,Electronic,4
28,Tool of the Man,Poster Children,notExplicit,Alternative,10
29,Music for Percussion (mostly),Todd Hammes & Tool and Drum Ensemble,notExplicit,World,12
30,Sharper Tool; Bigger Weapon,RA Scion & Vox Mod,explicit,Hip-Hop/Rap,14
31,#9715: The Perfect Tool (Car Talk Classic),Car Talk & Click & Clack,notExplicit,Spoken Word,1
32,World Rhythm Seeds : Learn By Ear Audio Tool,Jim Donovan,notExplicit,World,10
33,Tool Manty Ganby,Mahmoud El Esseily,notExplicit,Arabic Pop,10
34,Tool Box,Aaron Tippin,notExplicit,Country,11
35,Scratch Tools On Cd,DJ Swamp,notExplicit,Electronic,99
36,Sound Effects Hip-hop Dj Club Tools Intro & Party Break (Volume 1 // 2010),Master Hit,notExplicit,Hip-Hop/Rap,50
37,Scratch Sample & Instrumental 4 - Single,Dj Tool,notExplicit,Hip-Hop/Rap,2
38,Sexx Piss Tool - Single,In Flagranti,notExplicit,Electronic,3
39,Lullaby Renditions of Tool,Lullaby Baby Trio,notExplicit,Children's Music,14
40,Audio Tools,Qitup,notExplicit,Spoken Word,74
